date,equal_topk,vol_scaled,kelly,kelly_spy,topk_spy,spy_hold,cash
2022-07-19,465.16460566930596,102.97594865395428,313.34688992049485,502.2063876825066,690.6730659113422,465.1759190088509,121.20413941758441
2022-07-20,463.2435165993034,102.97594865395428,313.6345204358444,502.6673779994606,687.8206466565318,468.140654270144,121.21573472346965
2022-07-21,455.87561175636114,102.97594865395428,315.74064104379585,506.0428933039567,676.8808344584479,472.9078016621278,121.22714326109791
2022-07-22,450.9008710535646,102.97594865395428,315.17462066598415,505.1357228215321,669.494375189109,468.52010342747883,121.23859985313203
2022-07-25,458.33146460498796,102.97594865395428,316.4196853756646,507.1312091990688,680.5272671313459,469.08933443018157,121.2507148398965
2022-07-26,448.1055478755994,102.97594865395428,315.36177460309835,505.43567761834794,665.3438994091209,463.53950395393156,121.26250246023154
2022-07-27,466.79123665339677,102.97594865395428,319.65486589587186,512.3162880200719,693.088275914846,475.5759335927705,121.27377438900345
2022-07-28,474.12157209148756,102.97594865395428,324.2585328001545,519.6946632344536,703.9723053304119,481.54075675844894,121.28495332692947
2022-07-29,488.3954656481582,102.97594865395428,326.8449425307231,523.8399460811593,725.1660799751804,488.56108156944737,121.29608626481128
2022-08-01,483.99508855897454,102.97594865395428,326.2518184704186,522.8893360660142,718.6324316745333,487.11429564869474,121.30787829601623
2022-08-02,481.86990187124826,102.97594865395428,323.850107280004,519.040072709672,715.4769697426567,483.9007556627461,121.31967147360608
2022-08-03,495.28039153380575,102.97594865395428,327.0007088682859,524.0895954385539,735.3887684859938,491.47836182494854,121.33127783216273
2022-08-04,497.07776356501637,102.97594865395428,326.19076068688753,522.7914777183057,738.0574935700816,491.1462913178051,121.34274426545242
2022-08-05,495.73918096352867,102.97594865395428,326.4316632415705,523.1775763382775,736.0699757364433,490.3161532277469,121.35454083260421
2022-08-08,498.9935763457397,102.97594865395428,327.5055997902728,524.8987927028666,740.902078628462,489.7470367584451,121.36676132345762
2022-08-09,488.59571282843757,102.97594865395428,326.5933714382302,523.4367488142636,725.4634055503815,487.80225961037837,121.37903000204986
2022-08-10,505.98561502903306,102.97594865395428,332.6647834279369,533.1675040301723,751.2838074519876,498.04784499202225,121.3912059925467
2022-08-11,511.07755275235047,102.97594865395428,333.96330550023055,535.2486674315961,758.8442800157438,498.04784499202225,121.40319527425441
2022-08-12,516.2789715264477,102.97594865395428,339.17620579729794,543.6034713621657,766.5673092574581,506.47945036948,121.41523273413054
